epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,594.457,1.22537,1.23701,0.00456,0.77022,0.66022,0.71669,0.51378,1.18646,1.25722,0.00738,0.00107205,0.00107205,0.00107205
43,608.588,1.25468,1.35418,0.00462,0.77576,0.70619,0.76497,0.54051,1.17437,1.05044,0.00734,0.00104705,0.00104705,0.00104705
44,627.259,1.23541,1.2667,0.00435,0.74475,0.70847,0.74161,0.53789,1.17466,1.10121,0.00732,0.00102184,0.00102184,0.00102184
45,642.685,1.20528,1.23903,0.00438,0.84022,0.63411,0.74184,0.53198,1.15334,1.17257,0.00725,0.000996456,0.000996456,0.000996456
46,655.819,1.20777,1.32301,0.00434,0.7998,0.68629,0.74246,0.53762,1.185,1.15496,0.00719,0.000970919,0.000970919,0.000970919
47,674.984,1.19543,1.24229,0.00414,0.69627,0.72361,0.73679,0.52382,1.20236,1.13998,0.00717,0.000945256,0.000945256,0.000945256
48,687.559,1.19621,1.18977,0.00422,0.69769,0.70614,0.72093,0.50787,1.22605,1.1277,0.00767,0.00091949,0.00091949,0.00091949
49,705.051,1.16225,1.20611,0.00413,0.73393,0.71032,0.73699,0.53704,1.14892,1.10559,0.00684,0.000893648,0.000893648,0.000893648
50,717.034,1.15681,1.20778,0.00378,0.83642,0.64649,0.74192,0.54977,1.13446,1.06511,0.00688,0.000867754,0.000867754,0.000867754
51,730.359,1.20493,1.22789,0.00436,0.81879,0.66907,0.75158,0.54753,1.15041,1.04974,0.00691,0.000841835,0.000841835,0.000841835
52,745.055,1.15567,1.14098,0.00365,0.80916,0.68569,0.76108,0.5549,1.14624,1.08817,0.0075,0.000815916,0.000815916,0.000815916
53,758.022,1.15326,1.1747,0.0041,0.71868,0.65101,0.7087,0.52367,1.13088,1.21592,0.00701,0.000790022,0.000790022,0.000790022
54,771.502,1.11723,1.14984,0.0038,0.75712,0.67265,0.73175,0.53928,1.12584,1.10129,0.00686,0.00076418,0.00076418,0.00076418
55,786.176,1.06583,1.03634,0.00362,0.80355,0.69617,0.74656,0.54271,1.12335,1.01114,0.00686,0.000738414,0.000738414,0.000738414
56,798.632,1.09195,1.09887,0.00381,0.79992,0.71847,0.7677,0.5672,1.09543,0.98336,0.0066,0.000712751,0.000712751,0.000712751
57,811.634,1.10769,1.0802,0.00381,0.85813,0.66481,0.77019,0.57045,1.08946,0.95741,0.00666,0.000687214,0.000687214,0.000687214
58,824.796,1.07905,1.06196,0.00393,0.80157,0.68609,0.76291,0.56634,1.09139,1.03126,0.00659,0.000661831,0.000661831,0.000661831
59,838.101,1.12097,1.07864,0.0038,0.80076,0.70677,0.76307,0.55459,1.15551,1.10978,0.00702,0.000636625,0.000636625,0.000636625
60,850.99,1.08527,1.06351,0.00373,0.78987,0.71094,0.75155,0.56203,1.10126,1.10908,0.00673,0.000611621,0.000611621,0.000611621
61,866.643,1.07535,1.01911,0.00372,0.81793,0.71099,0.79036,0.58296,1.10786,0.94421,0.0067,0.000586845,0.000586845,0.000586845
62,884.655,1.00518,0.93846,0.00349,0.84263,0.67536,0.789,0.57493,1.10502,0.93142,0.00669,0.00056232,0.00056232,0.00056232
